id,description,link,shipping_settings,condition,title,availability,brand,sale_price,price,custom_label_0,image_link,custom_label_1,custom_label_2
10426,[트래킹/런닝화] 혹독한 환경에서도 강인하게 견뎌줄 티바트 프로텍트,https://www.wadiz.kr/web/store/detail/10426?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10426,,new,[트래킹/런닝화] 혹독한 환경에서도 강인하게 견뎌줄 티바트 프로텍트,in stock,와디즈,99000 KRW,99000.0 KRW,10426,https://cdn2.wadiz.kr/2025/01/02/3af2ed5c-d5d4-40b4-bb28-1758db6a09a8.png/wadiz/resizecrop/500x500/format/jpg,,
10501,"[전자식비데]20만원대, 온수좌욕케어 + 노필터 + 무선 리모콘 비데",https://www.wadiz.kr/web/store/detail/10501?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10501,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,대림바스 전자식비데 온수 좌욕케어 노필터 무선 리모콘 비데 DDS_S1850R,in stock,와디즈,204000 KRW,258000.0 KRW,10501,https://d1ruwxjthziwe4.cloudfront.net/marketing/10501.jpg,,
10503,[금연보조제] 5억 펀딩 금연성공템 | 니코틴0% 6주만에 금단현상 억제,https://www.wadiz.kr/web/store/detail/10503?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10503,,new,[금연보조제] 5억 펀딩 금연성공템 | 니코틴0% 6주만에 금단현상 억제,in stock,와디즈,67000 KRW,67000.0 KRW,10503,https://cdn2.wadiz.kr/2025/01/07/cbf9877a-d609-400b-b9a0-20009b8e817f.jpeg/wadiz/resizecrop/500x500/format/jpg,superstoreday,ABC
10518,[면도날세척기]매일 새것 같은 면도날!물에 넣기만 해도 속까지 강력세척!,https://www.wadiz.kr/web/store/detail/10518?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10518,,new,[면도날세척기]매일 새것 같은 면도날!물에 넣기만 해도 속까지 강력세척!,in stock,와디즈,75900 KRW,97000.0 KRW,10518,https://cdn2.wadiz.kr/2025/01/08/f1d0b0c8-2796-425c-9070-3717c40b82c7.jpeg/wadiz/resizecrop/500x500/format/jpg,superstoreday,ABC
10519,[아이폰케이스]이거 블랙베리 아니에요?? 기능성까지 돌아온 클릭스 케이스,https://www.wadiz.kr/web/store/detail/10519?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10519,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,"클릭스 아이폰 키보드 케이스 아이폰15, 16",in stock,와디즈,194000 KRW,199000.0 KRW,10519,https://cdn2.wadiz.kr/2025/01/21/92cf4bf4-be0c-49ed-af27-bc1e27787663.png/wadiz/resizecrop/500x500/format/jpg,superstoreday,ABC
10539,"[1차완판] 국내유일 100% 온천수 샤워필터, 집에서 온천 하세요.",https://www.wadiz.kr/web/store/detail/10539?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10539,,new,"[1차완판] 국내유일 100% 온천수 샤워필터, 집에서 온천 하세요.",in stock,와디즈,29600 KRW,50000.0 KRW,10539,https://cdn2.wadiz.kr/2025/01/09/cdf00da3-7148-4c91-8487-75d26fe1b352.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,ABC
10543,"살균,기름세정, 탈취를 한번에! 천연소금원료 100% 주방관리 스프레이",https://www.wadiz.kr/web/store/detail/10543?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10543,,new,"살균,기름세정, 탈취를 한번에! 천연소금원료 100% 주방관리 스프레이",in stock,와디즈,27300 KRW,30400.0 KRW,10543,https://cdn2.wadiz.kr/2025/01/10/65dbea24-0646-4280-9daa-b1413df2b0d6.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,ABC
10654,"[프리미엄 싱잉볼] 1만 번의 두드림, 히말라야 명상 악기 싱잉볼",https://www.wadiz.kr/web/store/detail/10654?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10654,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,요가니크 히말라야 풀문 싱잉볼,in stock,와디즈,110000 KRW,115000.0 KRW,10654,https://cdn2.wadiz.kr/2025/01/20/430e6ca7-01cf-4403-ad71-f2eb1bac4a3c.jpg/wadiz/resizecrop/500x500/format/jpg,superstoreday,ABC
10655,"[회전운동기구] 하루 4분, 쥐고만 있으면 손목부터 코어까지 운동 끝!",https://www.wadiz.kr/web/store/detail/10655?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10655,오늘출발^16:00^택배^한진택배^null^null^3000^3000^null^2^토요일|일요일|공휴일^,new,큐월드 NSD스피너 파워사이클 충전식  전자동 양손 상완 자이로볼 전완근 팔뚝 운동기 ,in stock,와디즈,174000 KRW,179000.0 KRW,10655,https://cdn2.wadiz.kr/2025/01/20/82ec3f3b-64e4-4661-a2c4-1f1e2915c647.jpeg/wadiz/resizecrop/500x500/format/jpg,superstoreday,ABC
10656,"[칼]5.3억ㅣ독립군의 칼, 대도의 예리함이 40년 대장장이손에 살아나다",https://www.wadiz.kr/web/store/detail/10656?utm_source=mkt_fb_insta&utm_medium=cpc&utm_campaign=project_10656,,new,"[칼]5.3억ㅣ독립군의 칼, 대도의 예리함이 40년 대장장이손에 살아나다",in stock,와디즈,129000 KRW,129000.0 KRW,10656,https://cdn2.wadiz.kr/2025/01/20/8759dd38-d58e-4404-9477-57708c5afc4c.jpeg/wadiz/resizecrop/500x500/format/jpg,,
